question,ground_truth,namespace
What are nasal polyps and how do they present?,"Nasal polyps are benign edematous outgrowths of the nasal and paranasal sinus mucosa, most commonly arising from the middle meatus and ethmoid region. They are associated with chronic rhinosinusitis, allergic rhinitis, aspirin sensitivity, and cystic fibrosis. Clinically they present with progressive bilateral nasal obstruction, reduced or absent sense of smell, nasal voice, clear watery discharge, and a feeling of nasal fullness. On examination, smooth pale glistening grape-like masses are visible in the nasal cavity. CT scan of the sinuses demonstrates the extent of disease. Unilateral polyps warrant biopsy to exclude antrochoanal polyp or malignancy.",diagnosis_knowledge
A patient presents with recurrent episodes of severe unilateral epistaxis. What are the possible causes?,"Epistaxis, or nasal bleeding, can arise from anterior or posterior locations. Anterior epistaxis occurs most commonly from Little's area on the anterior nasal septum and is typically managed conservatively. Recurrent severe epistaxis may result from hypertension, coagulopathy, hereditary hemorrhagic telangiectasia, platelet disorders, anticoagulant therapy, nasal tumors, or juvenile nasopharyngeal angiofibroma in adolescent males. Hypertension is the most common systemic cause. Investigations should include blood pressure measurement, full blood count, coagulation profile, and nasal endoscopy. CT scan and angiography are required if a vascular lesion or tumor is suspected.",diagnosis_knowledge
What are the clinical features and complications of acute sinusitis?,"Acute sinusitis presents with facial pain and pressure that worsens on bending forward, nasal congestion, purulent nasal discharge, reduced sense of smell, and fever. The maxillary sinuses are most commonly affected, causing cheek pain and toothache. Frontal sinusitis causes forehead pain worse in the morning. Ethmoid sinusitis presents with pain between the eyes and periorbital swelling. Complications include orbital cellulitis, subperiosteal abscess, cavernous sinus thrombosis, meningitis, and intracranial abscess. Orbital complications are more common in children with ethmoid sinusitis. CT scan of paranasal sinuses is the investigation of choice to assess extent and complications.",diagnosis_knowledge
What is a deviated nasal septum and what are its clinical consequences?,"A deviated nasal septum is a displacement of the septal cartilage or bone from the midline, which may be congenital or result from nasal trauma. It causes unilateral or bilateral nasal obstruction, recurrent sinusitis due to impaired sinus drainage, epistaxis from dryness of the deflected side, snoring, and obstructive sleep apnea in severe cases. On anterior rhinoscopy, the deflection, compensatory hypertrophy of the opposite inferior turbinate, and spurs are visible. DNS is classified based on location and degree of deviation. Septoplasty is the definitive surgical treatment, often combined with functional endoscopic sinus surgery when associated sinusitis is present.",diagnosis_knowledge
What are the diagnostic criteria and clinical presentation of chronic rhinosinusitis?,"Chronic rhinosinusitis is defined as inflammation of the nasal cavity and paranasal sinuses persisting for 12 weeks or more despite treatment. Diagnostic criteria require two or more symptoms including nasal obstruction, nasal discharge, facial pain or pressure, and reduction in sense of smell, along with endoscopic or CT evidence of disease. Nasal endoscopy may reveal mucosal edema, nasal polyps, or mucopurulent discharge from the middle meatus. CT scan shows mucosal thickening or opacification of sinuses. It is classified as with or without nasal polyps. Associated conditions include allergic rhinitis, asthma, and aspirin sensitivity, particularly in the eosinophilic variant.",diagnosis_knowledge
A 40-year-old male presents with inability to smell following a viral upper respiratory tract infection. What is the diagnosis?,"Post-viral olfactory dysfunction is the most likely diagnosis, occurring as a consequence of viral damage to the olfactory neuroepithelium or olfactory nerve. It is one of the most common causes of anosmia and typically follows influenza or other upper respiratory viruses. Olfactory testing with Sniffin' Sticks or University of Pennsylvania Smell Identification Test confirms anosmia or hyposmia. MRI of the olfactory bulbs and tracts may show atrophy. Recovery is variable; partial recovery occurs in the majority within one to two years. Olfactory training with exposure to four distinct odors twice daily has been shown to improve outcomes and is recommended as first-line rehabilitation.",diagnosis_knowledge
What is acute tonsillitis and how is it clinically distinguished from infectious mononucleosis?,"Acute tonsillitis is an infection of the palatine tonsils presenting with severe odynophagia, fever, trismus, halitosis, and tonsillar exudate with cervical lymphadenopathy. Bacterial tonsillitis, commonly caused by Group A streptococcus, shows symmetrical tonsillar enlargement with white or yellow follicular exudate. Infectious mononucleosis caused by Epstein-Barr virus presents similarly but with additional features including palatal petechiae, generalized lymphadenopathy particularly posterior cervical nodes, splenomegaly, and a macular skin rash that appears after amoxicillin administration. Monospot test and Paul-Bunnell test are positive in mononucleosis. Peripheral blood film shows atypical lymphocytes.",diagnosis_knowledge
What are the clinical features of peritonsillar abscess?,"Peritonsillar abscess is a collection of pus in the peritonsillar space between the tonsil capsule and the superior constrictor muscle, representing the most common deep neck space infection. It presents with severe unilateral odynophagia, muffled hot potato voice, trismus due to pterygoid muscle spasm, drooling, and uvular deviation toward the contralateral side. The affected tonsil is pushed downward and medially with bulging of the anterior pillar and soft palate. Fever and systemic toxicity are pronounced. Aspiration of the abscess confirms the diagnosis and is also therapeutic. Organisms include Group A streptococcus, oral anaerobes, and mixed flora.",diagnosis_knowledge
What is a retropharyngeal abscess and how does it present in children?,"Retropharyngeal abscess is a deep neck space infection occurring in the retropharyngeal space, between the posterior pharyngeal wall and the prevertebral fascia, most commonly in children under five years due to the presence of lymph nodes in this space that involute with age. It presents with fever, dysphagia, drooling, neck stiffness, muffled voice, and progressive respiratory distress. The child prefers to keep the neck extended and resists neck flexion. Bulging of the posterior pharyngeal wall is visible on oral examination. Lateral neck radiograph shows widening of the prevertebral soft tissue shadow. Contrast CT of the neck confirms the diagnosis and defines the extent.",diagnosis_knowledge
What is epiglottitis and why is it a medical emergency?,"Epiglottitis is acute inflammation of the epiglottis and supraglottic structures, traditionally caused by Haemophilus influenzae type b in children but increasingly occurring in adults due to vaccination programs. It constitutes a life-threatening emergency because rapidly progressive edema of the epiglottis can cause acute upper airway obstruction. The child presents with high fever, drooling, dysphagia, muffled voice, inspiratory stridor, and the classic tripod position with neck extended and chin thrust forward to maximize airway patency. Direct laryngoscopy should only be performed in a controlled setting with airway management equipment available. Lateral neck radiograph shows the classic thumbprint sign of an enlarged epiglottis.",diagnosis_knowledge
What are the clinical features of croup in children?,"Croup, or laryngotracheobronchitis, is the most common cause of acute upper airway obstruction in children between 6 months and 3 years of age. It is usually caused by parainfluenza virus type 1. The condition presents with a prodrome of upper respiratory symptoms followed by the characteristic barking cough, inspiratory stridor, and hoarseness that are typically worse at night. Mild cases present with a barking cough without stridor at rest, while severe cases show stridor at rest, use of accessory muscles, and cyanosis. Anteroposterior neck radiograph shows the classic steeple sign representing subglottic narrowing. Viral croup is distinguished from bacterial tracheitis by the absence of high fever and toxic appearance.",diagnosis_knowledge
A patient presents with hoarseness lasting more than three weeks. What are the differential diagnoses?,"Persistent hoarseness lasting more than three weeks requires thorough evaluation to exclude serious pathology. Differential diagnoses include vocal cord nodules from vocal abuse, polyps, laryngeal papillomatosis, vocal cord palsy from recurrent laryngeal nerve injury, laryngopharyngeal reflux, laryngeal carcinoma, thyroid malignancy compressing the nerve, anterior mediastinal masses, and hypothyroidism. Laryngeal carcinoma must be excluded in patients over 40 years with hoarseness, particularly smokers and heavy alcohol consumers. Flexible nasolaryngoscopy is the primary investigation. If a mass is identified, CT larynx and chest are required to stage the disease. Indirect laryngoscopy may also reveal the underlying cause.",diagnosis_knowledge
What is vocal cord palsy and how is it classified?,"Vocal cord palsy results from dysfunction of the recurrent laryngeal nerve or superior laryngeal nerve innervating the laryngeal muscles. It is classified as unilateral or bilateral and as complete or incomplete depending on the degree of nerve damage. The right recurrent laryngeal nerve is shorter and less prone to injury, while the left follows a longer course around the aortic arch making it more vulnerable to mediastinal pathology. Common causes include thyroid surgery, mediastinal tumors, aortic aneurysm, lung carcinoma, cervical lymphadenopathy, and viral neuritis. Unilateral palsy presents with hoarseness and breathy voice; bilateral palsy causes biphasic stridor and respiratory distress due to median positioning of cords.",diagnosis_knowledge
What are the clinical features of laryngeal carcinoma?,"Laryngeal carcinoma is predominantly squamous cell carcinoma with three anatomical subtypes: glottic, supraglottic, and subglottic. Glottic carcinoma arising from the true vocal cords presents early with hoarseness due to disruption of cord vibration, allowing early detection and good prognosis. Supraglottic carcinoma presents late with dysphagia, referred otalgia, and cervical lymphadenopathy as the supraglottis has a rich lymphatic supply. Subglottic carcinoma is the least common and presents with stridor and airway compromise. Risk factors include smoking, heavy alcohol consumption, and exposure to wood dust, asbestos, and radiation. Diagnosis is by endoscopic biopsy with histopathological confirmation.",diagnosis_knowledge
What is parotid gland swelling and what are the common causes?,"Parotid gland swelling can be unilateral or bilateral and may be acute or chronic. Acute unilateral painful swelling suggests suppurative parotitis due to Staphylococcus aureus infection, particularly in dehydrated or debilitated patients. Acute bilateral swelling with fever and trismus suggests mumps parotitis. Recurrent painful swelling on eating suggests parotid duct obstruction due to sialolithiasis or stricture. Chronic painless unilateral swelling raises the concern for a salivary gland neoplasm, most commonly pleomorphic adenoma or Warthin tumor. Bilateral chronic diffuse enlargement may indicate alcoholic liver disease, diabetes, Sjogren syndrome, or sarcoidosis. FNAC and imaging with ultrasound or MRI help differentiate benign from malignant lesions.",diagnosis_knowledge
What is a pleomorphic adenoma and how does it present?,"Pleomorphic adenoma is the most common benign tumor of the salivary glands, accounting for approximately 70 to 80 percent of all parotid tumors. It arises most commonly from the superficial lobe of the parotid gland and presents as a slow-growing, painless, firm, irregular, non-tender swelling in the preauricular region. Facial nerve function is typically preserved. It has a pseudocapsule that is incomplete, contributing to its propensity for recurrence after inadequate surgery. Histologically it contains epithelial and myoepithelial cells in a chondromyxoid stroma. Long-standing tumors may undergo malignant transformation to carcinoma ex pleomorphic adenoma. Management is surgical with superficial or total parotidectomy preserving the facial nerve.",diagnosis_knowledge
What is a branchial cyst and how does it present?,"A branchial cyst is a congenital lateral neck mass arising from incomplete involution of the branchial apparatus, most commonly the second branchial cleft. It presents in young adults as a smooth, fluctuant, non-tender swelling at the anterior border of the upper third of the sternocleidomastoid muscle. It may enlarge or become tender following upper respiratory tract infection due to lymphoid hyperplasia within the cyst wall. Aspiration yields turbid fluid containing cholesterol crystals. Ultrasound confirms the cystic nature, and CT or MRI defines anatomical relationships. Treatment is surgical excision. Recurrence may occur if the tract is incompletely removed. In patients over 40, a cystic cervical metastasis from tonsillar squamous cell carcinoma must be excluded.",diagnosis_knowledge
What are the diagnostic features of a thyroglossal duct cyst?,"A thyroglossal duct cyst is the most common congenital neck mass in children, arising from incomplete involution of the thyroglossal duct which descends from the foramen cecum at the base of the tongue to the thyroid gland in the midline. It presents as a smooth, midline or paramedian swelling in the infrahyoid region that characteristically moves upward on tongue protrusion and on swallowing. Infection may cause acute enlargement and tenderness. Ultrasound confirms the cystic nature and identifies normal thyroid tissue. Radionuclide thyroid scan is performed to identify any ectopic thyroid tissue within the cyst before surgery. Sistrunk operation involving excision of the cyst, tract, and central portion of the hyoid bone is the standard treatment.",diagnosis_knowledge
What is acoustic neuroma and how does it present?,"Acoustic neuroma, more accurately termed vestibular schwannoma, is a benign slow-growing tumor arising from the Schwann cells of the vestibular portion of the eighth cranial nerve. It presents with unilateral progressive sensorineural hearing loss, tinnitus, and vestibular imbalance. Unlike Meniere's disease, discrete vertigo attacks are uncommon because the slow growth allows central compensation. As the tumor enlarges in the cerebellopontine angle, it may compress the facial nerve causing weakness, the trigeminal nerve causing facial numbness, and eventually cause cerebellar signs and raised intracranial pressure. Audiometry shows unilateral sensorineural hearing loss with poor speech discrimination. Gadolinium-enhanced MRI is the gold standard for diagnosis.",diagnosis_knowledge
What are the clinical features of otitis externa?,"Otitis externa is diffuse inflammation of the external auditory canal, commonly caused by Pseudomonas aeruginosa and Staphylococcus aureus. It presents with intense otalgia exacerbated by movement of the tragus or pinna, otorrhea, pruritus, and conductive hearing loss due to canal oedema. Examination reveals erythema, oedema, and debris in the external auditory canal with tenderness on manipulation of the auricle. Predisposing factors include swimming, trauma from cotton buds, hearing aid use, diabetes, and immunosuppression. Malignant otitis externa is a severe necrotizing infection in diabetic or immunocompromised patients caused by Pseudomonas aeruginosa that can extend to skull base causing cranial nerve palsies.",diagnosis_knowledge
A patient presents with unilateral purulent ear discharge and a marginal tympanic membrane perforation. What is the most likely diagnosis?,"The most likely diagnosis is chronic suppurative otitis media of the unsafe type, specifically associated with cholesteatoma. A marginal or attic perforation, as opposed to a central perforation in safe chronic otitis media, is associated with cholesteatoma formation. The purulent discharge in cholesteatoma is characteristically foul-smelling. Hearing loss is typically conductive due to ossicular erosion. CT scan of the temporal bones should be performed to assess the extent of bony erosion, involvement of the ossicular chain, and any intracranial complications. Unlike safe chronic otitis media which carries a low risk of serious complications, unsafe otitis media with cholesteatoma requires surgical management due to its locally destructive nature.",diagnosis_knowledge
What is noise-induced hearing loss and what are its characteristics?,"Noise-induced hearing loss is a preventable sensorineural hearing loss caused by chronic exposure to hazardous noise levels exceeding 85 decibels. It results from mechanical damage and metabolic exhaustion of cochlear outer hair cells, particularly in the basal turn of the cochlea. The characteristic audiometric feature is a notch at 4000 Hz with partial recovery at higher frequencies, reflecting the tonotopic organization of the cochlea. Initially a temporary threshold shift occurs with recovery after rest, but with prolonged exposure, permanent threshold shift develops. Tinnitus is commonly associated. Otoacoustic emissions are absent or reduced. Prevention through hearing protection and noise reduction is paramount as the damage is irreversible.",diagnosis_knowledge
What is the most common site of epistaxis in children and adults?,"The most common site of epistaxis in both children and adults is Little's area, located on the anteroinferior part of the nasal septum. This region contains a rich anastomotic plexus called Kiesselbach's plexus or plexus of Kiesselbach, formed by convergence of the anterior ethmoidal, greater palatine, sphenopalatine, and superior labial arteries. Anterior epistaxis from this site is more common, easier to control, and less severe. Posterior epistaxis originates from branches of the sphenopalatine artery in the posterior nasal cavity, occurs more frequently in elderly patients and is associated with hypertension, tends to be more profuse and may be life-threatening.",diagnosis_knowledge
What are the clinical features of juvenile nasopharyngeal angiofibroma?,"Juvenile nasopharyngeal angiofibroma is a rare but highly vascular benign tumor arising from the posterolateral wall of the nasopharynx, occurring almost exclusively in adolescent males. It presents with recurrent severe epistaxis that may be life-threatening and progressive unilateral nasal obstruction. Extension into adjacent spaces causes proptosis from orbital involvement, facial swelling, and conductive hearing loss from Eustachian tube obstruction. On examination, a reddish-purple mass is seen in the nasopharynx. CT and MRI with contrast are used for staging. Angiography demonstrates the characteristic tumor blush and feeding vessels. Preoperative embolization is performed to reduce intraoperative bleeding. Biopsy is contraindicated due to the risk of severe hemorrhage.",diagnosis_knowledge
What is obstructive sleep apnea and what are the ENT-related causes?,"Obstructive sleep apnea is a sleep disorder characterized by recurrent episodes of complete or partial upper airway obstruction during sleep, causing apneas or hypopneas with consequent oxygen desaturation and arousal. ENT-related contributing factors include tonsillar and adenoid hypertrophy, the predominant cause in children, deviated nasal septum, inferior turbinate hypertrophy, nasal polyps, macroglossia, retrognathia, and lingual tonsil hypertrophy. Clinically it manifests as loud snoring, witnessed apneas, excessive daytime sleepiness, morning headaches, and impaired concentration. Polysomnography is the gold standard diagnostic test. Apnea-hypopnea index above 15 per hour indicates moderate to severe disease requiring treatment.",diagnosis_knowledge
A 5-year-old child snores every night and has recurrent throat infections. What is the most likely anatomical cause?,"In a 5-year-old child with recurrent tonsillar infections and nocturnal snoring, adenotonsillar hypertrophy is the most likely anatomical cause of upper airway obstruction. The palatine tonsils and adenoids are relatively largest in proportion to the pharyngeal airway between 3 and 7 years of age. Enlarged tonsils and adenoids narrow the pharyngeal airway, causing snoring, mouth breathing, sleep-disordered breathing, and in severe cases obstructive sleep apnea. Adenoid hypertrophy also obstructs the Eustachian tube orifice contributing to recurrent otitis media. Adenotonsillectomy is the first-line surgical treatment and results in marked improvement in sleep-disordered breathing and overall quality of life.",diagnosis_knowledge
What are the radiological features of frontal sinusitis on CT scan?,"CT scan of the paranasal sinuses in frontal sinusitis demonstrates mucosal thickening or complete opacification of the frontal sinus with loss of the normal air-containing space. Acute frontal sinusitis shows air-fluid levels. Chronic frontal sinusitis may show sclerosis and thickening of the sinus walls due to reactive osteitis. The drainage pathway including the frontal recess and nasofrontal duct should be assessed for obstruction by anatomical variants such as agger nasi cells or obstructing polyps. Complications including intracranial extension, orbital cellulitis, or osteomyelitis of the frontal bone known as Pott's puffy tumor can also be evaluated. Coronal CT is preferred for functional endoscopic sinus surgery planning.",diagnosis_knowledge
What is Ludwig's angina and how does it present?,"Ludwig's angina is a rapidly spreading bilateral cellulitis of the submandibular, sublingual, and submental spaces, most commonly arising from a lower molar dental abscess. It constitutes a life-threatening emergency due to the risk of airway compromise from progressive oedema of the floor of mouth and base of tongue. Patients present with trismus, odynophagia, drooling, neck swelling with brawny induration, and elevation of the tongue. Airway distress manifests as drooling, stridor, and inability to swallow. Fever and systemic toxicity are present. Causative organisms are polymicrobial including oral streptococci and anaerobes. Securing the airway, whether by intubation or surgical airway, is the immediate priority.",diagnosis_knowledge
What is the most common malignant tumor of the parotid gland?,"Mucoepidermoid carcinoma is the most common primary malignant tumor of the parotid gland, accounting for approximately 30 to 35 percent of parotid malignancies. It is composed of mucous, epidermoid, and intermediate cells and is classified as low, intermediate, or high grade. Low-grade tumors behave relatively indolently while high-grade tumors are aggressive with high rates of local recurrence and distant metastasis. Clinically it presents as a firm, painful parotid mass with facial nerve involvement in high-grade tumors suggesting malignancy. Adenoid cystic carcinoma, the second most common, is notorious for perineural invasion causing facial pain and numbness and for late distant metastasis to lungs.",diagnosis_knowledge
What are the features of nasopharyngeal carcinoma?,"Nasopharyngeal carcinoma is a squamous cell carcinoma arising from the epithelial lining of the nasopharynx, with high incidence in Southeast Asia and associated with Epstein-Barr virus infection. It commonly arises from the fossa of Rosenmuller. Due to its hidden location, it frequently presents with cervical lymphadenopathy as the first sign, often bilateral. Nasal symptoms include epistaxis and nasal obstruction. Eustachian tube obstruction causes unilateral secretory otitis media and conductive hearing loss. Cranial nerve palsies occur with skull base invasion. Diagnosis is by endoscopic biopsy with histological confirmation. CT and MRI are used for staging. Elevated EBV DNA levels are useful for diagnosis, monitoring, and detecting recurrence.",diagnosis_knowledge
A patient presents with a painless neck mass that has been present for three months. What is the differential diagnosis?,"A painless neck mass persisting for more than three weeks in an adult must be considered malignant until proven otherwise. The differential diagnosis includes metastatic cervical lymphadenopathy from primary squamous cell carcinoma of the oral cavity, oropharynx, larynx, or hypopharynx, metastatic thyroid carcinoma, lymphoma presenting with firm non-tender lymphadenopathy, metastatic nasopharyngeal carcinoma, and less commonly salivary gland tumors or skin cancers. Congenital causes such as branchial cyst or lymphatic malformation may present in younger patients. Investigation should include thorough head and neck examination, nasopharyngoscopy, CT scan, and fine needle aspiration cytology. PET-CT is useful when the primary is unknown.",diagnosis_knowledge
What is laryngomalacia and how does it present in infants?,"Laryngomalacia is the most common congenital cause of stridor in infants, accounting for 60 to 75 percent of all neonatal stridor cases. It results from immaturity or hypotonia of the supraglottic structures causing prolapse of the arytenoids, aryepiglottic folds, and epiglottis into the airway during inspiration. Stridor is characteristically inspiratory, low-pitched, and worsens with feeding, agitation, and supine positioning, improving in the prone position. It typically appears within the first two weeks of life and in most cases resolves spontaneously by 18 to 24 months as laryngeal structures mature. Flexible laryngoscopy confirms the diagnosis by visualizing the characteristic omega-shaped or retroflexed epiglottis and redundant aryepiglottic folds.",diagnosis_knowledge
What are the causes of recurrent acute otitis media in children?,"Recurrent acute otitis media is defined as three or more episodes within six months or four or more episodes within one year. Risk factors include age under two years when the immune system and Eustachian tube function are immature, Eustachian tube dysfunction due to adenoid hypertrophy obstructing the tube orifice, allergic rhinitis causing mucosal edema, cleft palate resulting in abnormal tensor veli palatini muscle function, Down syndrome, and daycare attendance. Breastfeeding is protective. Microbiological causes are the same as acute otitis media with Streptococcus pneumoniae being the most common. Grommet insertion with or without adenoidectomy is effective in reducing the frequency of infections and associated hearing loss.",diagnosis_knowledge
What is a subperiosteal abscess and how does it relate to mastoiditis?,"A subperiosteal abscess is a complication of acute coalescent mastoiditis in which pus from the mastoid air cells erodes through the outer cortex of the mastoid bone and collects beneath the periosteum. It is the most common extracranial complication of acute otitis media. Clinically it presents with retroauricular swelling, tenderness, and erythema with proptosis of the auricle in an anteroinferior direction, distinguishing it from acute mastoiditis without abscess. CT scan of the temporal bones confirms the diagnosis and demonstrates bony erosion of the mastoid cortex. Management requires intravenous antibiotics combined with surgical drainage either by cortical mastoidectomy or needle aspiration in selected cases.",diagnosis_knowledge
What is a foreign body in the ear and how should it be managed?,"Foreign bodies in the external auditory canal are common in children who insert objects such as beads, paper, eraser, vegetable matter, or insects. Symptoms include otalgia, otorrhea, hearing loss, tinnitus, and in the case of insects, a loud buzzing noise and intense discomfort. Organic foreign bodies such as vegetable matter and peas are hygroscopic and may swell on contact with moisture, making removal more difficult. Insects should be killed first by instilling olive oil or lidocaine before removal. Removal techniques include irrigation, suction, and instrumentation under direct vision. Irrigation is contraindicated if the tympanic membrane is perforated or if the foreign body is vegetable matter. Uncooperative children may require general anesthesia.",diagnosis_knowledge
What is a salivary gland calculus and how does it present?,"Sialolithiasis is the formation of calculi within the salivary gland ductal system, most commonly affecting the submandibular gland due to the long upward course of Wharton's duct against gravity, alkaline and mucus-rich submandibular secretion, and higher calcium phosphate concentration. It presents with painful swelling of the affected gland during meals due to obstructed saliva flow, known as mealtime syndrome. The swelling is typically recurrent and subsides between meals. Calculi may be palpable on bimanual palpation of the floor of the mouth along the duct. Plain radiography detects radio-opaque stones, while ultrasound identifies radiolucent stones. Endoscopic sialolithotomy using sialendoscopy is increasingly used as minimally invasive treatment.",diagnosis_knowledge
What are the clinical and audiometric features of otitis media with effusion?,"Otitis media with effusion, or glue ear, is the presence of non-infected fluid in the middle ear cleft without signs of acute inflammation. It is the most common cause of hearing impairment in children. Clinical features include mild hearing loss, speech delay, inattentiveness, and behavioral problems. The tympanic membrane appears retracted, opaque, or amber-colored, sometimes with visible fluid levels or air bubbles behind it. Audiometry reveals mild to moderate conductive hearing loss of 20 to 40 dB. Tympanometry shows a flat type B curve with absent acoustic reflexes. Electrocochleography is normal distinguishing it from sensorineural hearing loss. Management includes watchful waiting for three months, with grommet insertion if hearing loss persists.",diagnosis_knowledge
